item_0,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20,item_21,item_22,item_23,item_24,item_25,item_26,item_27,item_28,item_29,item_30,item_31,item_32,item_33,item_34,item_35,item_36,item_37,item_38,item_39,item_40,item_41,item_42,item_43,item_44,item_45,item_46,item_47,item_48
42516,1,430,31.5,4.04,0,0,0,17,10,389.5,0,0,16,0,154.9,0,0,46,0,68.1,0,0,11,0,31,0,35.5,0,182,293,896.85,56.1,30.51,39.86,9.58,9.03,86.63,69,12.57,89.69,5.35,31.5,4.02,368.1,154.9,68.1,31,35.5
42516,2,430,31.5,4.02,0,0,0,20,0,368.1,0,0,12,12,154.9,0,0,36,0,68.1,0,0,8,18,31,0,35.5,0,180,292,896.85,56.3,30.51,39.84,9.57,9.02,87.18,69,12.58,89.68,5.34,31.5,4.05,364.6,154.9,68.1,31,35.5
42516,3,430,31.5,4.05,0,0,0,13,12,364.6,0,0,19,0,154.9,0,0,28,13,68.1,0,0,23,0,31,0,35.5,0,156,311,896.87,55.99,30.49,40.14,9.64,9.06,87.45,69,12.57,89.68,5.32,31.6,4.07,407.2,161.2,69.1,31,35.5
42517,1,430,31.6,4.07,0,0,0,16,0,407.2,0,0,14,10,161.2,0,0,32,20,69.1,0,0,21,0,31,0,35.5,0,176,291,896.85,56.03,30.5,39.84,9.57,9.02,87.13,69,12.57,89.68,5.35,31.5,4.02,368.1,161.2,69.1,31,35.5
42517,2,430,31.5,4.02,0,0,0,10,15,368.1,0,0,20,10,161.2,0,0,42,10,69.1,0,0,18,0,31,0,35.5,0,167,291,896.86,55.94,30.51,39.99,9.6,9.06,87.13,69,12.57,89.68,5.35,31.5,4.04,368.1,161.2,69.1,31,35.5
42517,3,430,31.5,4.04,0,0,0,17,10,368.1,0,0,24,0,161.2,0,0,44,13,69.1,0,0,16,0,31,0,35.5,0,166,269,896.85,55.92,30.53,39.77,9.56,8.99,87.71,69,12.58,89.68,8.47,31.4,4.06,364.6,155,67.7,31,35.5
42518,1,430,31.4,4.06,0,0,0,20,0,364.6,0,0,20,0,155,0,0,50,0,67.7,0,0,13,0,31,0,35.5,0,48,117,896.89,55.83,30.48,40.5,9.73,9.13,87.44,69,12.57,89.68,5.34,31.6,4.05,368.1,151.7,67.9,33,35
42521,1,430,31.6,4.05,0,0,0,23,0,368.1,0,0.6,24,0,151.7,0,0,44,0,67.9,0,0,23,0,33,0,35,0,8,76,896.96,55.92,30.59,41.86,10.06,9.18,87.04,69,12.56,89.69,5.33,31.6,4.03,375.2,151.7,67.9,33,35
42521,2,430,31.6,4.03,0,0,0,21.5,0,375.2,0,0,23,6,151.7,0,0,43,10,67.9,0,0,23,0,33,0,35,0,127,327,896.89,55.95,30.56,40.52,9.73,9,87.2,69,12.56,89.68,5.35,31.7,4.07,385.9,151.7,67.9,33,35
42521,3,430,31.7,4.07,0,0,0,14,10,385.9,0,0,25,0,151.7,0,0,46,0,67.9,0,0,20,0,33,0,35,0,176,319,896.86,56.3,30.56,39.98,9.6,8.93,87.54,69,12.58,89.68,5.34,31.7,4.13,350.3,154.7,68.4,33,35
42522,1,430,31.7,4.13,0,0,0,20,0,350.3,0,0,21,0,154.7,0,0,40,0,68.4,0,0,18,0,33,0,35,0,152,335,896.88,56.11,30.52,40.29,9.68,9.03,87.36,69,12.58,89.68,5.33,31.7,4.12,368.1,154.7,68.4,33,35
42522,2,430,31.7,4.12,0,0,0,10,10,368.1,0,0,15,0,154.7,0,0,26,15,68.4,0,0,15,0,33,0,35,0,164,329,896.87,55.83,30.56,40.15,9.64,9.01,87.54,69,12.58,89.68,5.34,31.7,4.03,382.4,154.7,68.4,33,35
42522,3,430,31.7,4.03,0,0,0,14,10,382.4,0,0,10,10,154.7,0,0,34,10,68.4,0,0,12,0,33,0,35,0,192,298,896.84,55.92,30.59,39.67,9.53,8.94,87.91,69,12.58,89.68,5.33,31.7,3.97,371.7,154.3,67.6,33,35
42523,1,430,31.7,3.97,0,0,0,21,0,371.7,0,0,16,10,154.3,0,0,34,10,67.6,0,0,10,12,33,0,35,0,224,269,896.82,55.68,30.52,39.29,9.44,8.88,87.78,69,12.59,89.67,5.33,31.6,4.02,368.1,154.3,67.6,33,35
42523,2,430,31.6,4.02,0,0,0,14,10,368.1,0,0,21,0,154.3,0,0,36,10,67.6,0,0,19,0,33,0,35,0,192,299,896.84,55.9,30.53,39.7,9.54,8.96,88.09,69,12.59,89.67,5.33,31.7,3.97,364.6,154.3,67.6,33,35
42523,3,430,31.7,3.97,0,0,0,17,10,364.6,0,0,17,0,154.3,0,0,36,10,67.6,0,0,16,0,33,0,35,0,212,244,896.82,55.84,30.59,39.16,9.42,8.86,88.4,69,12.59,89.67,6.26,31.7,4.05,371.7,157.4,67.3,33,35
42524,1,430,31.7,4.05,0,0,0,20,0,371.7,0,0,12,10,157.4,0,0,38,0,67.3,0,0,14,0,33,0,35,0,188,301,896.85,56.07,30.57,39.8,9.56,9.01,87.84,69,12.58,89.67,5.34,31.6,4.04,368.1,157.4,67.3,33,35
42524,2,430,31.6,4.04,0,0,0,13,10,368.1,0,0,17,10,157.4,0,0,29,20,67.3,0,0,12,0,33,0,35,0,140,339,896.88,55.88,30.56,40.43,9.71,9.12,87.92,69,12.57,89.68,5.34,31.2,4.01,339.7,157.4,67.3,33,35
42524,3,430,31.2,4.01,0,0,0,17,10,339.7,0,0,23,0,157.4,0,0,40,0,67.3,0,0,9,0,33,0,35,0,96,142,896.84,55.96,30.56,39.66,9.53,8.98,88.19,69,12.58,89.69,5.33,31.6,4.13,378.8,155.3,66.4,31,35
42527,1,430,31.6,4.13,0,0,0,21.5,0,378.8,0,0,20,0,155.3,0,0,36,0,66.4,0,0,9,0,31,0,35,0,16,19,896.87,55.75,30.69,40.13,9.65,8.98,87.76,69,12.58,89.68,8.33,31.7,4.29,385.9,155.3,66.4,31,35.5
42527,2,430,31.7,4.29,0,0,8,20.5,10,385.9,0,0,20,0,155.3,0,0,34,20,66.4,0,0,7,15,31,35,35.5,0,136,317,896.88,55.96,30.6,40.38,9.7,8.98,87.91,69,12.59,89.69,5.32,31.4,4.11,364.6,155.3,66.4,31,35.5
42527,3,430,31.4,4.11,0,0,0,24,0,364.6,0,0,15,10,155.3,0,0,46,0,66.4,0,8.2,20,1.8,31,0,35.5,0.5,147,352,896.88,56.17,30.61,40.35,9.7,9,88.17,69,12.59,89.69,5.32,31.4,4.14,364.6,155,69.7,31,35.5
42528,1,430,31.4,4.14,0,0,0,17,10,364.6,0,0,20,0,155,0,0,36,15,69.7,0,0,20,0,31,0,35.5,0,140,326,896.88,56.01,30.59,40.41,9.71,9.05,87.67,69,12.58,89.69,5.33,31.5,4.19,378.8,155,69.7,31,35.5
42528,2,430,31.5,4.19,0,0,4,20,10,378.8,0,1.8,15,10,155,0,0,42,0,69.7,0,0,17,0,31,0,35.5,0,140,327,896.88,56.25,30.64,40.42,9.71,9.08,87.54,69,12.58,89.69,5.33,31.6,4.07,378.8,155,69.7,31,35.5
42528,3,430,31.6,4.07,0,0,0,22,0,378.8,0,0,20,0,155,0,0,34,15,69.7,0,0,17,0,31,0,35.5,0,64,156,896.88,55.74,30.52,40.39,9.7,9.08,87.74,69,12.58,89.68,37.75,31.6,4.09,382.4,154.2,67.1,31,35.5
42529,1,430,31.6,4.09,0,0,0,19,0,382.4,0,0,17,10,154.2,0,0,42,10,67.1,0,0,17,0,31,0,35.5,0,72,203,896.9,56.09,30.62,40.66,9.77,9.15,87.29,69,12.57,89.68,5.35,31.7,4.15,385.9,154.2,67.1,31,35.5
42529,2,430,31.7,4.15,0,0,4,14,10,385.9,0,0,24,0,154.2,0,0,47,0,67.1,0,0,17,0,31,0,35.5,0,166,306,896.86,55.96,30.6,40.04,9.61,9.06,87.49,69,12.57,89.68,5.35,31.7,4.07,378.8,154.2,67.1,31,35.5
42529,3,430,31.7,4.07,0,0,0,18,10,378.8,0,0,20,7,154.2,0,0,38,8,67.1,0,0,17,0.6,31,0,35.5,0,136,351,896.89,56.05,30.68,40.52,9.73,9.14,87.74,69,12.57,89.68,5.34,31.8,4.04,378.8,160.6,65.1,31,35.5
42530,1,430,31.8,4.04,0,0,0,20,10,378.8,0,0,21,0,160.6,0,0,37,20,65.1,0,0,23,0,31,0,35.5,0,159,279,896.86,56.23,30.66,40.01,9.61,9.06,87.47,69,12.57,89.68,5.35,31.7,4.12,364.6,160.6,65.1,31,35.5
42530,2,430,31.7,4.12,0,0,0,24,0,364.6,0,0,17,10,160.6,0,0,49,10,65.1,0,0,23,0,31,0,35.5,0,216,274,896.83,56.1,30.72,39.41,9.46,8.97,87.31,69,12.57,89.67,5.35,31.7,4.1,378.8,160.6,65.1,31,35.5
42530,3,430,31.7,4.1,0,0,0,17,10,378.8,0,0,22,0,160.6,0,0,52,0,65.1,0,0,23,0,31,0,35.5,0,128,364,896.9,55.82,30.66,40.64,9.76,9.19,87.43,69,12.56,89.68,5.35,31.7,4.12,343.2,160.3,62.8,31,35.5
42531,1,430,31.7,4.12,0,0,0,20,0,343.2,0,0,18,0,160.3,0,0,42,0,62.8,0,0,23,0,31,0,35.5,0,136,335,896.89,56.1,30.65,40.51,9.73,9.22,86.68,69,12.56,89.68,5.35,31.7,4.12,385.9,160.3,62.8,31,35.5
42531,2,430,31.7,4.12,0,0,0,12,10,385.9,0,0,13,10,160.3,0,0,32,25,62.8,0,0,20,0,31,0,35.5,0,112,232,896.87,55.9,30.69,40.3,9.68,9.18,87,69,12.57,89.68,5.35,31.7,4.08,375.2,160.3,62.8,31,35.5
42531,3,430,31.7,4.08,0,0,0,17,0,375.2,0,0,19,11,160.3,0,0,54,0,62.8,0,0,18,0,31,0,35.5,0,63,154,896.89,55.97,30.67,40.44,9.71,9.19,87.95,69,12.57,89.69,5.33,31.8,4.29,382.4,157,63.3,33,35.5
42534,1,430,31.8,4.29,0,0,8,23,0,382.4,0,0,17,0,157,0,0,48,0,63.3,0,0,17,0,33,0,35.5,0,4,23,896.9,56.82,30.68,40.69,9.77,9.11,88.13,69,12.58,89.68,63.34,31.6,4.22,368.1,157,63.3,33,34.1
42534,2,430,31.6,4.22,0,0,4,23,0,368.1,0,0,17,10,157,0,0,48,0,63.3,0,0,17,0,33,0,34.1,0,148,321,896.88,56.01,30.7,40.29,9.68,9.08,88.12,69,12.58,89.68,5.33,31.7,4.13,371.7,157,63.3,33,34.1
42534,3,430,31.7,4.13,0,0,0,15,10,371.7,0,0,21,0,157,0,0,39,10,63.3,0,0,14,10,33,0,34.1,0,140,318,896.88,55.63,30.68,40.36,9.7,9.1,87.98,69,12.57,89.68,5.34,31.8,4.12,382.4,161.6,61.1,33,34.1
42535,1,430,31.8,4.12,0,0,0,19,0,382.4,0,0,17,10,161.6,0,0,40,15,61.1,0,0,21,0,33,0,34.1,0,132,298,896.88,55.99,30.67,40.29,9.68,9.13,87.51,69,12.57,89.68,6.36,31.7,4.14,371.7,161.6,61.1,33,34.1
42535,2,430,31.7,4.14,0,0,0,13,10,371.7,0,0,23,0,161.6,0,0,46,0,61.1,0,0,19,0,33,0,34.1,0,140,280,896.87,55.96,30.67,40.22,9.66,9.14,87.4,69,12.56,89.68,5.35,31.7,4.11,371.7,161.6,61.1,33,34.1
42535,3,430,31.7,4.11,0,0,0,18,10,371.7,0,0,15,0,161.6,0,0,40,10,61.1,0,0,17,0,33,0,34.1,0,152,310,896.87,55.94,30.67,40.18,9.65,9.14,87.77,69,12.58,89.68,5.34,31.7,4.16,385.9,151.8,62.5,33,34.1
42536,1,430,31.7,4.16,0,0,4,18,0,385.9,0,0,13,10,151.8,0,0,41,0,62.5,0,0,14,0,33,0,34.1,0,140,305,896.88,55.89,30.69,40.28,9.67,9.17,87.54,69,12.57,89.68,5.34,31.7,4.11,375.2,151.8,62.5,33,34.1
42536,2,430,31.7,4.11,0,0,0,12,10,375.2,0,0,19,0,151.8,0,0,34,10,62.5,0,0,12,13,33,0,34.1,0,150,295,896.87,56.09,30.7,40.13,9.64,9.14,87.85,69,12.58,89.68,5.34,31.7,4.08,378.3,151.8,62.5,33,34.1
42536,3,430,31.7,4.08,0,0,0,15,10,378.3,0,0,15,10,151.8,0,0,34,15,62.5,0,0,25,0,33,0,34.1,0,156,288,896.86,55.91,30.72,40.01,9.61,9.12,87.96,69,12.59,89.67,5.34,31.7,4.11,378.8,169.5,61.9,33,34.1
42537,1,430,31.7,4.11,0,0,0,18,10,378.8,0,0,20,0,169.5,0,0,42,20,61.9,0,0,20,0,33,0,34.1,0,160,334,896.87,56.09,30.7,40.21,9.66,9.18,87.67,69,12.57,89.68,5.35,31.7,4.13,375.2,169.5,61.9,33,34.1
42537,2,430,31.7,4.13,0,0,0,22,0,375.2,0,0,15,10,169.5,0,0,54,0,61.9,0,0,17,0,33,0,34.1,0,144,342,896.88,56,30.69,40.42,9.71,9.24,87.35,69,12.56,89.68,5.35,31.7,4.09,357.2,169.5,61.9,33,34.1
42537,3,430,31.7,4.09,0,0,0,15,10,357.2,0,0,20,0,169.5,0,0,46,10,61.9,0,0,15,0,33,0,34.1,0,160,336,896.87,55.81,30.73,40.19,9.65,9.18,87.36,69,12.58,89.68,5.34,31.6,4.16,378.8,154.2,61.7,33,34.1
42538,1,430,31.6,4.16,0,0,4,18,0,378.8,0,0,16,10,154.2,0,0,49,0,61.7,0,0,13,0,33,0,34.1,0,167,314,896.86,55.9,30.67,40.06,9.62,9.17,87.22,69,12.57,89.67,5.36,31.6,4.06,357.2,154.2,61.7,33,34.1
42538,2,430,31.6,4.06,0,0,0,11,10,357.2,0,1.2,21,0,154.2,0,0,38,0,61.7,0,0,10,15,33,0,34.1,0,132,335,896.89,55.85,30.75,40.53,9.73,9.27,87.19,69,12.57,89.68,5.35,31.6,4,382.4,154.2,61.7,33,34.1
42538,3,430,31.6,4,0,0,0,14,14,382.4,0,0,16,0,154.2,0,0,29,0,61.7,0,0,21,0,33,0,34.1,0,88,140,896.85,56.13,30.69,39.8,9.56,9.12,87.69,69,12.59,89.67,5.34,31.7,4.06,382.4,148.1,62.6,33,34.1
42541,1,430,31.7,4.06,0,0,0,24,0,382.4,0,0,13,8,148.1,0,0,25,20,62.6,0,0,20,0,33,0,34.1,0,44,106,896.89,55.68,30.56,40.55,9.74,9.11,86.82,69,12.58,89.69,5.33,31.8,4.09,378.8,148.1,62.6,33,34.6
42541,2,430,31.8,4.09,0,0,0,22,0,378.8,0,0,20,0,148.1,0,0,42,0,62.6,8,0,19,0,33,0,34.6,0,200,275,896.83,55.99,30.76,39.54,9.5,8.97,86.66,69,12.58,89.67,5.34,31.8,4.09,393,148.1,62.6,33,34.6
42541,3,430,31.8,4.09,0,0,0,15,10,393,0,0,15,10,148.1,0,0,33,10,62.6,8,0,19,0,33,0,34.6,0,148,305,896.87,56.18,30.73,40.21,9.66,9.1,87.12,69,12.58,89.68,5.34,31.8,4.08,378.8,153.1,58.8,33,34.6
42542,1,430,31.8,4.08,0,0,0,19,0,378.8,0,0,21,0,153.1,0,0,34,0,58.8,1,0,19,0,33,0,34.6,0,140,330,896.88,56.44,30.72,40.45,9.72,9.2,86.68,69,12.58,89.68,5.34,31.6,4.05,382.4,153.1,58.8,33,34.6
42542,2,430,31.6,4.05,0,0,0,12,10,382.4,0,1.8,16,0,153.1,0,0,26,25,58.8,8,0,17,0,33,0,34.6,0,124,327,896.89,56.3,30.75,40.56,9.74,9.21,86.77,69,12.57,89.68,5.34,31.7,4.11,385.9,153.1,58.8,33,34.6
42542,3,430,31.7,4.11,0,0,0,15,10,385.9,0,0,11,10,153.1,0,0,43,0,58.8,8,0,17,0,33,0,34.6,0,136,211,896.85,55.9,30.74,39.81,9.56,9.08,87.1,69,12.58,89.68,5.34,31.7,4.08,393,158.9,57.8,33,34.6
42543,1,430,31.7,4.08,0,0,0,20,0,393,0,0,18,0,158.9,0,0,36,20,57.8,6,0,17,0,33,0,34.6,0,50,260,896.94,56.28,30.74,41.43,9.95,9.39,86.96,69,12.57,89.69,5.34,31.7,4.1,389.5,158.9,57.8,33,34.6
42543,2,430,31.7,4.1,0,0,0,15,10,389.5,0,0,14.5,0,158.9,0,0,50,0,57.8,0,0,17,10,33,0,34.6,0,96,308,896.91,56.16,30.72,40.84,9.81,9.27,87.24,69,12.57,89.69,5.33,31.7,4.14,389.5,158.9,57.8,33,34.6
42543,3,430,31.7,4.14,0,0,0,20,0,389.5,0,0,10,10,158.9,0,0,42,0,57.8,0,0,24,0,33,0,34.6,0,108,351,896.91,55.59,30.73,40.88,9.82,9.31,87.32,69,12.57,89.69,5.32,31.7,4.1,389.5,163.2,59.2,33,34.6
42544,1,430,31.7,4.1,0,0,0,13,10,389.5,0,0,16,10,163.2,0,0,34,20,59.2,0,0,21,0,33,0,34.6,0,76,360,896.93,56.07,30.73,41.27,9.91,9.36,87.49,69,12.57,89.69,5.32,31.7,4.22,389.5,163.2,59.2,33,34.6
42544,2,430,31.7,4.22,0,0,4,17,0,389.5,0,0,21,0,163.2,3.5,0,46,0,59.2,0,6.9,19,0,33,0,34.6,0,88,381,896.93,55.7,30.72,41.17,9.89,9.35,87.25,69,12.57,89.69,5.33,31.7,4.09,389.5,163.2,59.2,33,34.6
42544,3,430,31.7,4.09,0,0,0,8,10,389.5,0,0,16,0,163.2,0,0,39,20,59.2,0,0,10,10,33,0,34.6,0,96,370,896.92,56.03,30.71,41.02,9.85,9.33,87.13,69,12.57,89.69,10.89,31.7,4.08,382.4,154.3,61.8,33,34.6
42545,1,430,31.7,4.08,0,0,0,12,10,382.4,0,0,11,15,154.3,0,0,50,0,61.8,0,0,17,0,33,0,34.6,0,108,272,896.89,56.06,30.75,40.54,9.74,9.25,86.87,69,12.57,89.68,6.52,31.8,4.07,385.9,154.3,61.8,33,34.6
42545,2,430,31.8,4.07,0,0,0,16,10,385.9,0,0,21,0,154.3,0,0,42,10,61.8,0,0,15,0,33,0,34.6,0,104,293,896.9,56,30.42,40.65,9.76,9.28,86.99,69,12.58,89.69,5.33,31.8,4.13,382.4,154.3,61.8,33,34.6
42545,3,430,31.8,4.13,0,0,0,21,0,382.4,0,0,17,10,154.3,0,0,45,0,61.8,0,0,13,0,33,0,34.6,0,112,378,896.91,56.07,30.35,40.83,9.81,9.33,87,69,12.58,89.68,5.33,31.8,4.1,382.4,156.1,61.8,33,34.6
42546,1,430,31.8,4.1,0,0,0,13,10,382.4,0,0,23,0,156.1,0,0,36,10,61.8,0,0,10,15,33,0,34.6,0,124,345,896.9,56.14,30.33,40.64,9.76,9.31,86.78,69,12.57,89.68,5.34,31.8,4.08,378.8,156.1,61.8,33,34.6
42546,2,430,31.8,4.08,0,0,0,15,0,378.8,0,0,17,0,156.1,0,0,40,0,61.8,0,0,22,0,33,0,34.6,0,32,79,896.9,55.79,30.37,40.66,9.77,9.32,86.65,69,12.58,89.68,5.33,31.1,4.04,378.8,156.3,61,32,34.6
42548,1,430,31.1,4.04,0,0,0,22,0,378.8,0,0,25,0,156.3,0,0,52,0,61,0,0,22,0,32,0,34.6,0,0,6,897,55.4,30.9,42.5,10.2,9.45,87.15,68,12.53,89.7,5.37,31.8,4.16,378.8,156.3,61,32,35.2
42548,2,430,31.8,4.16,0,0,4,22,0,378.8,0,0,25,0,156.3,0,0,52,0,61,0,0,22,0,32,0,35.2,0,72,196,896.9,55.96,30.27,40.64,9.76,9.15,87.17,69,12.56,89.69,9.28,32,4.05,378.8,156.3,61,32,35.2
42548,3,430,32,4.05,0,0,0,17,10,378.8,0,0,23,0,156.3,0,0,50,0,61,0,0,20,0,32,0,35.2,0,130,344,896.89,56.01,30.29,40.55,9.74,9.14,87.22,69,12.58,89.69,5.33,31.7,4.06,382.4,156.9,60.5,32,35.2
42549,1,430,31.7,4.06,0,0,0,20,0,382.4,0,0,18,0,156.9,0,0,40,0,60.5,0,0,18,0,32,0,35.2,0,76,264,896.92,55.97,30.29,40.98,9.84,9.2,87.44,69,12.58,89.69,5.32,31.7,4.09,375.2,156.9,60.5,32,35.2
42549,2,430,31.7,4.09,0,0,0,13.5,0,375.2,0,0,14.5,0,156.9,0,0,31.5,0,60.5,0,0,15,0,32,0,35.2,0,83,272,896.91,55.74,30.27,40.84,9.81,9.22,87.43,69,12.57,89.69,5.32,31.7,4.09,378.8,156.9,60.5,32,35.2
42549,3,430,31.7,4.09,0,0,0,9,15,378.8,0,0,11,15,156.9,0,0,26,20,60.5,0,0,14,13,32,0,35.2,0,100,329,896.91,56.07,30.29,40.9,9.82,9.24,87.34,69,12.57,89.69,5.32,31.7,4.05,378.8,157.1,61.4,32,35.2
